"text","created","url","latitude","longitude","retweets","hashtag"
"...a few weeks ago.

The Prophet Mohamed [PBUH] once said that the ideal immigrant is an active agent of social cha<e2><80><a6> https://t.co/VPYZ8a1RLk",2018-12-22 04:33:06,"https://twitter.com/AmandaOcasio1/status/1076334791509921792",NA,NA,0,"#nobannowall"
"Hey @realDonaldTrump aka #Tariffman nice job with the economy and the stock market. #Winning #TrumpShutdown #NoWall<e2><80><a6> https://t.co/7UEKEfgydN",2018-12-22 04:23:58,"https://twitter.com/rons_back/status/1076332493920485376",NA,NA,0,"#nobannowall"
"As Christmas approaches, all I can say is thank God there wasn<e2><80><99>t a wall built around Egypt, or Jesus would have bee<e2><80><a6> https://t.co/iGyYhx61io",2018-12-22 04:23:12,"https://twitter.com/leahrullman/status/1076332301494169606",NA,NA,0,"#nobannowall"
"Please join me on the #TwitterBomb and keep sharing here on Facebook. #NoBanNowall   #NoShutdown #DumpTrump",2018-12-22 04:10:54,"https://twitter.com/Slammerrocks/status/1076329205292564481",NA,NA,0,"#nobannowall"
"@SenSchumer @NancyPelosi NOT. ONE. PENNY for that damn wall! #NoBanNoWall #DontBackDown",2018-12-22 04:10:15,"https://twitter.com/dfbscb/status/1076329042574336000",NA,NA,0,"#nobannowall"
"Forget Christmas, put <e2><80><9c>Christ<e2><80><9d> back in <e2><80><9c>Christian<e2><80><9d> #NoBanNoWall",2018-12-22 03:18:03,"https://twitter.com/NuYoMujerista/status/1076315905653686272",NA,NA,0,"#nobannowall"
"@#NoBanNoWall go away #Trump #TrumpResign @SenateGOP do you want our Country to fail? If not, stand up  to Trump<e2><80><99>s<e2><80><a6> https://t.co/owbJkL1NtA",2018-12-22 03:02:05,"https://twitter.com/EmilyRose2468/status/1076311887833227266",NA,NA,0,"#nobannowall"
"Immigration reform is a reproductive health issue and we're committed to fighting for immigrant justice wherever an<e2><80><a6> https://t.co/l5dnjhsgQs",2018-12-22 01:40:43,"https://twitter.com/thisisWHARR/status/1076291411383934976",NA,NA,1,"#nobannowall"
"@realDonaldTrump 
It's time for you to get out of Our House! Everything you touch turns to shit! You are a weak per<e2><80><a6> https://t.co/i1ck8wZCik",2018-12-22 01:40:42,"https://twitter.com/kingsfandanny/status/1076291405624967168",NA,NA,3,"#nobannowall"
"The Trump administration<e2><80><99>s campaign to dismantle our asylum system just suffered another major setback. #AsylumBan<e2><80><a6> https://t.co/844yCIgvs7",2018-12-22 01:35:16,"https://twitter.com/ACLU_NorCal/status/1076290039678521344",NA,NA,1,"#nobannowall"
